Top 100 Functions (Inclusive)                                                  Inclusive           Exclusive           
75.  .ctor(class TSParser.ParserConfig)                                        0.17%               0%                  
76.  CustomAttribute.GetCustomAttributes(class System.Reflection.RuntimeMet    0.17%               0%                  
77.  CultureData.GetLocaleInfoCore(value class LocaleNumberData)               0.16%               0.16%               
78.  CultureData.GetNFIValues(class System.Globalization.NumberFormatInfo)     0.16%               0%                  
79.  .ctor(class System.Globalization.CultureData)                             0.16%               0%                  
80.  DefaultInterpolatedStringHandler.AppendFormatted(!!0,class System.Stri    0.16%               0%                  
81.  Number.<TryFormatInt64>g__TryFormatInt64Slow|26_0(int64,value class Sy    0.16%               0%                  
82.  CultureInfo.get_NumberFormat()                                            0.16%               0%                  
83.  NumberFormatInfo.get_CurrentInfo()                                        0.16%               0%                  
84.  SdtBatFactory.PushTable(value class TSParser.TransportStream.TsPacket)    0.16%               0%                  
85.  PatFactory.Publish(class TSParser.Tables.DvbTables.PAT)                   0.14%               0%                  
86.  DvbTableRouter.PatFactory_OnPatReady(class TSParser.Tables.DvbTables.P    0.14%               0.04%               
87.  .ctor(class TSParser.ParserOptions)                                       0.13%               0.02%               
88.  .ctor(value class System.ReadOnlySpan`1<unsigned int8>,unsigned int64)    0.12%               0.12%               
89.  .ctor(value class System.ReadOnlySpan`1<unsigned int8>)                   0.12%               0.04%               
90.  PmtFactory.ParseTable(value class System.ReadOnlySpan`1<unsigned int8>    0.12%               0%                  
91.  .ctor(value class System.ReadOnlySpan`1<unsigned int8>,unsigned int16)    0.12%               0%                  
92.  SdtBatFactory.ParseBat()                                                  0.12%               0%                  
93.  SdtBatFactory.<ParseBat>b__19_0()                                         0.12%               0.03%               
94.  Table.set_TableBytes(value class System.ReadOnlySpan`1<unsigned int8>)    0.11%               0%                  
95.  .ctor(value class System.ReadOnlySpan`1<unsigned int8>)                   0.11%               0%                  
96.  TsParser.PushPacketWithFileOffset(value class TSParser.TransportStream    0.11%               0%                  
97.  Analyzer.PushPacketLegacy(value class TSParser.TransportStream.TsPacke    0.11%               0%                  
98.  Analyzer.AddPacketToPidMetric(value class TSParser.TransportStream.TsP    0.11%               0.04%               
99.  Analyzer.PushPacket(value class TSParser.TransportStream.TsPacket,int3    0.11%               0%                  
100. TypeNameParserHelpers.GetFullTypeNameLength(value class System.ReadOnl    0.1%                0%                  
